DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
FREDERICO WESTPHALEN,RS,Operante,-27.39555555,-53.42944443,489.42,2007-12-13,A854
GAMA (PONTE ALTA),DF,Operante,-15.93527777,-48.13749999,990.0,2014-09-30,A046
GARANHUNS,PE,Operante,-8.91083333,-36.49333333,827.78,2007-07-07,A322
GAUCHA DO NORTE,MT,Pane,-13.18472221,-53.2575,375.87,2008-06-03,A930
GENERAL CARNEIRO,PR,Operante,-26.3986111,-51.35361111,1009.01,2008-04-29,A875
GILBUES,PI,Pane,-9.87527777,-45.34583333,425.1,2009-05-15,A364
GOIANESIA,GO,Operante,-15.22027777,-48.98999999,667.01,2007-06-01,A022
GOIANIA,GO,Operante,-16.64277777,-49.22027777,727.3,2001-05-28,A002
GOIAS,GO,Operante,-15.93972221,-50.14138888,512.86,2007-07-17,A014
GOIOERE,PR,Pane,-24.18388888,-53.04888888,481.0,2006-10-18,A825
GOVERNADOR VALADARES,MG,Operante,-18.83027777,-41.97694443,198.24,2007-05-26,A532
GRAJAU,MA,Pane,-5.81611111,-46.16222222,232.29,2008-09-09,A207
GUANAMBI,BA,Operante,-14.20805555,-42.74972221,552.23,2008-04-23,A426
GUANHAES,MG,Operante,-18.78694444,-42.94305555,852.68,2007-06-01,A533
GUARAMIRANGA,CE,Pane,-4.22916666,-38.95888888,865.53,2007-05-25,A314
GUARANTA DO NORTE,MT,Pane,-9.9525,-54.89777777,283.58,2002-12-19,A906
GUARDA-MOR,MG,Operante,-17.56138888,-47.19916666,997.01,2007-07-10,A546
GUIRATINGA,MT,Pane,-16.34166666,-53.76611111,525.43,2008-01-23,A932
GURUPI,TO,Operante,-11.74499999,-49.05166666,274.0,2006-12-19,A019
HUMAITA,AM,Operante,-7.5525,-63.07138888,53.56,2008-04-24,A112
IBIMIRIM,PE,Operante,-8.50944444,-37.71166666,434.23,2008-10-13,A349
IBIRITE (ROLA MOCA),MG,Operante,-20.03138888,-44.01111111,1198.82,2008-06-05,A555
IBIRUBA,RS,Pane,-28.65333333,-53.11194444,455.27,2012-12-12,A883
IBITINGA,SP,Pane,-21.85555555,-48.79972221,496.75,2007-11-08,A737
IBOTIRAMA,BA,Operante,-12.19305555,-43.21333333,425.12,2008-04-27,A439
ICARAIMA,PR,Pane,-23.39027777,-53.63583333,381.29,2006-11-15,A824
IGUAPE,SP,Operante,-24.67166666,-47.54583333,2.7,2006-07-19,A712
IGUATU,CE,Operante,-6.39638888,-39.26888888,221.56,2007-05-29,A319
ILHEUS,BA,Operante,-14.65888888,-39.18138888,80.21,2003-01-24,A410
